,number,title,date,agree
0,95,도시재생활성화지역은 즉시 해제 되어야 합니다.,2021-05-21,"2,244명"
1,94,저는 임대차 3법 피해자입니다.,2021-05-21,214명
2,93,택시에게도 고전압배터리 평생보증 해주세요.,2021-05-21,129명
3,92,부산-포항 ktx노선 만들어주세요~!!,2021-05-20,375명
4,91,전월세상한제 위헌 (독일 베를린) ! 임대차3법 강제 소급이후 멀쩡한 다세대 집을 부시고 주차장을 만듭니다. 임대차3법 집값상승 주범입니다. 폐기하여주세요,2021-05-20,998명
5,90,화물차 운수사업법(휴게시간 강화) 개정! 누구를 위한 법 개정인가요?,2021-05-20,588명
6,89,5030 속도제한,2021-05-19,"3,299명"
7,95,도시재생활성화지역은 즉시 해제 되어야 합니다.,2021-05-21,"2,244명"
8,94,저는 임대차 3법 피해자입니다.,2021-05-21,214명
9,93,택시에게도 고전압배터리 평생보증 해주세요.,2021-05-21,129명
10,92,부산-포항 ktx노선 만들어주세요~!!,2021-05-20,375명
11,91,전월세상한제 위헌 (독일 베를린) ! 임대차3법 강제 소급이후 멀쩡한 다세대 집을 부시고 주차장을 만듭니다. 임대차3법 집값상승 주범입니다. 폐기하여주세요,2021-05-20,998명
12,90,화물차 운수사업법(휴게시간 강화) 개정! 누구를 위한 법 개정인가요?,2021-05-20,588명
13,89,5030 속도제한,2021-05-19,"3,299명"
14,88,5030 제한속도는 탁상행정에 오히려 불편함만 가중하니 원래대로 돌려놔주세요,2021-05-19,"2,313명"
15,87,외국인에게는 토지 매매를 금하고 장기임대만 허용할 것을 청원합니다.,2021-05-19,"1,539명"
16,86,일반도로 및 8차선 도로 50km 속도제한 말이 되는건가요!? 반대합니다,2021-05-19,"1,128명"
17,85,존재이유 없는 LH의 완전한 해체와 대안,2021-05-19,591명
18,84,과한 추가분담금에 조합의 방만한 운영이 의심됩니다.,2021-05-19,247명
19,83,안전속도 5030? 속도제한 50km? 원인을 정확히 파악하고 개선해주세요.,2021-05-19,"1,507명"
20,82,도심 속도제한 50km 이게 말이 됩니까?,2021-05-19,595명
21,81,오피스텔 관리인의 권력 갑질과 절대 권력자를 국가에서 만들어 주고 있습니다.,2021-05-19,225명
